FECHA,INDICES
1970/01,5.2
1970/02,4.81
1970/03,5.01
1970/04,4.87
1970/05,5.09
1970/06,5.35
1970/07,5.46
1970/08,5.84
1970/09,5.11
1970/10,4.05
1970/11,4.6
1970/12,4.69
1971/01,4.93
1971/02,5.38
1971/03,5.47
1971/04,5.87
1971/05,5.87
1971/06,5.71
1971/07,5.11
1971/08,5.58
1971/09,5.67
1971/10,5.74
1971/11,5.34
1971/12,4.96
1972/01,4.4
1972/02,4.29
1972/03,4.46
1972/04,4.58
1972/05,4.57
1972/06,4.87
1972/07,5.35
1972/08,5.08
1972/09,5.22
1972/10,5.19
1972/11,5.7
1972/12,5.56
1973/01,6.62
1973/02,7.16
1973/03,7.52
1973/04,8.54
1973/05,9.47
1973/06,9.56
1973/07,11.95
1973/08,13
1973/09,15.16
1973/10,16.56
1973/11,17.23
1973/12,21.37
1974/01,23.92
1974/02,25.68
1974/03,25.54
1974/04,25.26
1974/05,24.92
1974/06,25.13
1974/07,23.76
1974/08,23.09
1974/09,21.6
1974/10,22.44
1974/11,24.31
1974/12,20.6
1975/01,17.92
1975/02,15.95
1975/03,15.79
1975/04,15.2
1975/05,15.83
1975/06,16.65
1975/07,15.91
1975/08,15.69
1975/09,15.22
1975/10,13.56
1975/11,11.27
1975/12,11.31
1976/01,12.02
1976/02,13.49
1976/03,13.89
1976/04,13.72
1976/05,13.01
1976/06,11.56
1976/07,11.62
1976/08,11.72
1976/09,14.69
1976/10,20.53
1976/11,25.1
1976/12,27.2
1977/01,28.77
1977/02,29.19
1977/03,30.17
1977/04,31.22
1977/05,31.45
1977/06,32.53
1977/07,32.91
1977/08,34.35
1977/09,32.22
1977/10,26.13
1977/11,22
1977/12,20.66
1978/01,19.53
1978/02,18.63
1978/03,17.81
1978/04,17.35
1978/05,17.46
1978/06,17.64
1978/07,18.3
1978/08,17.07
1978/09,16.35
1978/10,16.86
1978/11,16.79
1978/12,16.17
1979/01,17.68
1979/02,17.68
1979/03,18.05
1979/04,17.8
1979/05,18.18
1979/06,17.87
1979/07,17.31
1979/08,17.91
1979/09,18.01
1979/10,18.63
1979/11,18.93
1979/12,20.02
1980/01,21.56
1980/02,22.6
1980/03,23.45
1980/04,24.49
1980/05,24.89
1980/06,25.97
1980/07,27.94
1980/08,28.64
1980/09,28.49
1980/10,28.2
1980/11,28.77
1980/12,29.85
1981/01,27.8
1981/02,27.98
1981/03,28.08
1981/04,28.72
1981/05,28.57
1981/06,27.83
1981/07,26.55
1981/08,26.54
1981/09,27.47
1981/10,28.36
1981/11,28.6
1981/12,28.68
1982/01,30.86
1982/02,32.74
1982/03,34.71
1982/04,38.88
1982/05,44.5
1982/06,49.37
1982/07,54.35
1982/08,68.21
1982/09,73.95
1982/10,79
1982/11,84.49
1982/12,98.84
1983/01,110.04
1983/02,112.95
1983/03,115.39
1983/04,117.25
1983/05,114.61
1983/06,112.5
1983/07,112.08
1983/08,98.08
1983/09,93.83
1983/10,90.39
1983/11,91.87
1983/12,80.78
1984/01,73.4
1984/02,73.25
1984/03,72.31
1984/04,69.06
1984/05,67.41
1984/06,67.14
1984/07,64.49
1984/08,62.84
1984/09,62.68
1984/10,62.96
1984/11,59.2
1984/12,59.16
1985/01,60.75
1985/02,59.04
1985/03,58.43
1985/04,56.53
1985/05,55.1
1985/06,53.43
1985/07,53.73
1985/08,56.02
1985/09,57.55
1985/10,58.02
1985/11,59.82
1985/12,63.75
1986/01,65.92
1986/02,66.38
1986/03,67.62
1986/04,71.11
1986/05,76.44
1986/06,83.17
1986/07,85.84
1986/08,92.25
1986/09,95.96
1986/10,99.58
1986/11,103.67
1986/12,105.75
1987/01,104.34
1987/02,109.76
1987/03,113.69
1987/04,120.86
1987/05,125
1987/06,126.73
1987/07,133.44
1987/08,133.88
1987/09,135.18
1987/10,141
1987/11,143.65
1987/12,159.17
1988/01,176.83
1988/02,179.73
1988/03,175.83
1988/04,161.44
1988/05,147.82
1988/06,135.81
1988/07,121.79
1988/08,106.92
1988/09,95.24
